,Animal - Fold,"Accuracy","Precision","Recall","F-1 Score"
28,cat - 2,0.949433304272014,0.9596638655462185,0.943801652892562,0.9516666666666667
29,cat - 3,0.9153577661431065,0.9190082644628099,0.9205298013245033,0.9197684036393714
30,caterpillar - 1,0.9280701754385965,0.988,0.8666666666666667,0.9233644859813085
31,caterpillar - 2,0.9464912280701754,0.9502487562189055,0.9486754966887417,0.9494614747307373
32,caterpillar - 3,0.9288849868305531,0.9212218649517685,0.947107438016529,0.9339853300733496
33,chimpanzee - 1,0.9205240174672489,0.8888888888888888,0.9594356261022927,0.922815945716709
34,chimpanzee - 2,0.9213286713286714,0.95929203539823,0.8899835796387521,0.9233390119250425
35,chimpanzee - 3,0.9449300699300699,0.9838709677419355,0.9104477611940298,0.9457364341085271
36,cockroach - 1,0.9606986899563319,1.0,0.9206349206349206,0.9586776859504132
37,cockroach - 2,0.9536713286713286,0.9633333333333334,0.9490968801313628,0.9561621174524401
38,cockroach - 3,0.9440559440559441,0.9891107078039928,0.9038142620232172,0.9445407279029463
39,cow - 1,0.9448818897637795,0.9453262786596119,0.9436619718309859,0.9444933920704844
40,cow - 2,0.9562554680664916,0.9544715447154472,0.9638752052545156,0.9591503267973857
41,cow - 3,0.9562554680664916,0.9584717607973422,0.9584717607973422,0.9584717607973422
42,coyote - 1,0.8783902012248469,0.8421875,0.9341421143847487,0.885784716516023
43,coyote - 2,0.8283712784588442,0.9878640776699029,0.6806020066889632,0.805940594059406
44,coyote - 3,0.9238178633975481,0.9849906191369606,0.8692052980132451,0.9234828496042216
45,crab - 1,0.9056768558951965,0.9371428571428572,0.8677248677248677,0.9010989010989011
46,crab - 2,0.874235807860262,0.8171896316507503,0.9835796387520526,0.8926974664679582
47,crab - 3,0.861013986013986,0.9567901234567902,0.7711442786069652,0.8539944903581267
48,crow - 1,0.970357454228422,0.9668989547038328,0.9736842105263158,0.9702797202797204
49,crow - 2,0.9520488230165649,0.9910714285714286,0.9173553719008265,0.9527896995708155
50,crow - 3,0.9458987783595113,0.9804964539007093,0.9155629139072847,0.946917808219178
51,deer - 1,0.8769771528998243,0.9263565891472868,0.8241379310344827,0.8722627737226277
52,deer - 2,0.9288224956063269,0.9704797047970479,0.8900169204737732,0.9285083848190643
53,deer - 3,0.9120492524186455,0.9686346863468634,0.8634868421052632,0.9130434782608696
54,dog - 1,0.9447852760736196,0.9828897338403042,0.9054290718038529,0.9425706472196901
55,dog - 2,0.950920245398773,0.9519867549668874,0.9551495016611296,0.9535655058043118
56,dog - 3,0.9544259421560035,0.9759450171821306,0.9372937293729373,0.9562289562289563
57,dolphin - 1,0.9261862917398945,0.975095785440613,0.8775862068965518,0.9237749546279491
58,dolphin - 2,0.9560632688927944,0.9753954305799648,0.9390862944162437,0.9568965517241379
59,dolphin - 3,0.9657293497363796,0.9913644214162349,0.944078947368421,0.9671440606571189
60,donkey - 1,0.9141104294478528,0.9098786828422877,0.9194395796847635,0.9146341463414634
61,donkey - 2,0.7922874671340929,0.7278401997503121,0.96843853820598,0.8310762651461154
62,donkey - 3,0.880806310254163,0.933579335793358,0.834983498349835,0.8815331010452963
63,dragonfly - 1,0.8957968476357268,0.8462709284627092,0.9686411149825784,0.9033306255077174
64,dragonfly - 2,0.9019264448336253,0.9860834990059643,0.8252911813643927,0.8985507246376813
65,dragonfly - 3,0.9535901926444834,0.9614740368509213,0.9503311258278145,0.9558701082431307
66,duck - 1,0.8930762489044698,0.9328214971209213,0.8481675392670157,0.8884826325411335
67,duck - 2,0.8271929824561404,0.7647831800262812,0.97,0.855253490080823
68,duck - 3,0.9026315789473685,0.8972712680577849,0.9224422442244224,0.9096826688364523
69,eagle - 1,0.9572425828970331,0.9887640449438202,0.9246935201401051,0.9556561085972851
70,eagle - 2,0.9266375545851528,0.9377104377104377,0.9221854304635762,0.9298831385642738
71,eagle - 3,0.8934497816593886,0.9564393939393939,0.8360927152317881,0.892226148409894
72,elephant - 1,0.9172535211267606,0.9816700610997964,0.8500881834215167,0.9111531190926275
73,elephant - 2,0.9136563876651982,0.9902912621359223,0.845771144278607,0.9123434704830053
74,elephant - 3,0.9286343612334802,0.9505119453924915,0.9146141215106732,0.9322175732217572
75,flamingo - 1,0.9781468531468531,0.9910714285714286,0.9652173913043478,0.9779735682819383
76,flamingo - 2,0.9458041958041958,0.9127105666156202,0.9916805324459235,0.9505582137161084
77,flamingo - 3,0.9842657342657343,0.988313856427379,0.9817578772802653,0.9850249584026622
78,fly - 1,0.9623137598597721,0.9698581560283688,0.9546247818499127,0.9621811785400175
